CODIGO	NOMBRE	DEPARTAMENTO	MATRICULA TOTAL	Inicial 1	Inicial 2	Inicial 3	Parvularia 4	Parvularia 5	Parvularia 6	Primer Grado	Segundo Grado	Tercer Grado	Cuarto Grado	Quinto Grado	Sexto Grado	SÇptimo Grado	Octavo Grado	Noveno Grado	Primer A§o	Segundo A§o	Tercer A§o	Primer Grado - A§o 1	Primer Grado - A§o 2	Segundo Grado - A§o 1	Segundo Grado - A§o 2	Tercer Grado - A§o 1	Tercer Grado - A§o 2	Cuarto Grado - A§o 1	Cuarto Grado - A§o 2	Laboral Inicial A§o 1	Laboral Inicial A§o 2	Especializaci¢n Laboral A§o 1	Especializaci¢n Laboral A§o 2	Especializaci¢n Laboral A§o 3
10061	"CENTRO ESCOLAR ""GENERAL FRANCISCO MENêNDEZ"""	AHUACHAPµN	563							53	54	53	65	60	58	75	78	67																
10062	COMPLEJO EDUCATIVO CANT‡N IZCAQUILIO	AHUACHAPµN	579				8	35	42	37	32	60	64	58	53	53	41	45	23	28														
10063	"CENTRO ESCOLAR ""CANTON EL SALITRERO"""	AHUACHAPµN	284				4	16	24	31	30	40	31	19	19	25	23	22																
10064	"CENTRO ESCOLAR ""LOMAS DE ALARCON"""	AHUACHAPµN	302				3	12	22	18	29	31	34	26	21	36	34	36																
10065	"INSTITUTO NACIONAL ""COLONIA VALLE DEL SOL"""	SAN SALVADOR	414													90	89	83	69	52	31													
10066	"CENTRO ESCOLAR ""CANTON RINCON GRANDE"""	AHUACHAPµN	117				8	5	9	6	11	9	16	11	11	15	8	8																
10067	"CENTRO ESCOLAR ""CANTON SAN JUAN EL ESPINO"""	AHUACHAPµN	161					7	13	11	16	14	16	16	16	28	9	15																
10068	"CENTRO ESCOLAR ""VISTA AL LAGO"""	SAN SALVADOR	301				16	15	24	27	29	20	27	32	21	35	29	26																
10069	"CENTRO ESCOLAR ""FRAY MARTIN DE PORRES"""	AHUACHAPµN	20							1	2	5	2	8	2																			
10070	"CENTRO ESCOLAR ""CASERIO EL JICARO, CANTON ZUNCA"""	AHUACHAPµN	83				8	3	9	9	10	14	12	13	5																			
10071	"CENTRO ESCOLAR ""CANTON EL TORTUGUERO"""	AHUACHAPµN	124				7	14	12	14	15	16	14	16	16																			
10072	"ESCUELA DE EDUCACION ESPECIAL ""DE ATIQUIZAYA"""	AHUACHAPµN	48						2						3							5		11		8		10		3		6		
10073	"INSTITUTO NACIONAL ""CORNELIO AZEN‡N SIERRA"""	AHUACHAPµN	771																335	346	90													
10074	"CENTRO ESCOLAR ""COLONIA LAS VI•AS, CANTON EL JUNQUILLO"""	AHUACHAPµN	302				5	19	37	23	25	35	30	33	19	35	27	14																
10075	"CENTRO ESCOLAR ""CANTON JOYA DEL ZAPOTE"""	AHUACHAPµN	36				4	6	2	5	2	6	6	1	4																			
10076	"CENTRO ESCOLAR ""GENERAL FRANCISCO MENENDEZ"""	AHUACHAPµN	1047				19	43	56	73	103	90	120	116	88	124	118	97																
10077	"COMPLEJO EDUCATIVO ""MERCEDES MONTERROSA DE CARCAMO"""	AHUACHAPµN	1597				64	94	144	120	86	112	130	112	115	168	144	152	78	66	12													
10079	"COMPLEJO EDUCATIVO ""ANTONIO JOSê DE SUCRE"""	AHUACHAPµN	290			9	8	17	30	20	21	21	27	45	24	22	27	19																
10080	"CENTRO ESCOLAR ""EXALTACION POMPILIO SALGADO RIVERA"""	SAN MIGUEL	941				36	44	79	96	99	110	103	73	87	82	64	68																
10082	"CENTRO ESCOLAR ""CANTON LA ESPERANZA"""	AHUACHAPµN	56					3	6	10	5	7	10	7	8																			
10083	"CENTRO ESCOLAR ""CANTON  JOYA DEL PLATANAR"""	AHUACHAPµN	136				3	10	21	14	22	14	21	16	15																			
10084	"CENTRO ESCOLAR ""URBANIZACION MONTELIMAR"""	LA PAZ	610				32	37	55	53	53	57	65	67	56	51	55	29																
10085	"CENTRO ESCOLAR ""CANTON SHUCUTITAN"""	AHUACHAPµN	124				3	8	10	10	16	12	11	15	10	16	6	7																
10086	"CENTRO ESCOLAR ""LA CAMPANERA"""	SAN SALVADOR	295				12	18	24	29	37	21	36	26	21	17	26	28																
10087	"CENTRO ESCOLAR ""CANTON LOS TABLONES"""	AHUACHAPµN	92				4	9	12	9	11	17	14	11	5																			
10088	"INSTITUTO NACIONAL ""CANTON LAS PILAS"""	CHALATENANGO	80																44	33	3													
10089	"INSTITUTO NACIONAL  DE COATEPEQUE"""	SANTA ANA	208																96	77	35													
10090	"CENTRO ESCOLAR ""CANTON  JOYA DE LOS APANTES"""	AHUACHAPµN	57				2	5	4	5	5	12	7	6	11																			
10091	"ESCUELA DE EDUCACION PARVULARIA ""DE CONCEPCION DE ATACO"""	AHUACHAPµN	49				9	17	23																									
10092	"CENTRO ESCOLAR ""EL SAUCE"""	SONSONATE	1163				51	73	86	99	94	112	106	91	120	129	107	95																
10093	INSTITUTO NACIONAL DE SONZACATE	SONSONATE	638																273	239	126													
10094	"CENTRO ESCOLAR ""CANTON LA CEIBA ABAJO"""	AHUACHAPµN	87				8	15	6	10	13	9	11	9	6																			
10095	"COMPLEJO EDUCATIVO ""ANTONIO J. ALFARO"""	AHUACHAPµN	1458				7	62	90	98	96	118	130	133	106	141	140	130	114	93														
10096	"CENTRO ESCOLAR ""SAN ANTONIO"""	SAN SALVADOR	356					24	28	33	40	45	41	29	40	31	28	17																
10097	"CENTRO ESCOLAR ""FRANCISCO GAVIDIA"""	AHUACHAPµN	995					61	57	80	93	87	120	82	94	117	102	102																
10098	"CENTRO ESCOLAR ""COLONIA EL ANGEL"""	AHUACHAPµN	98				7	13	14	8	19	10	14	8	5																			
10099	CENTRO ESCOLAR DE GUAYMANGO	AHUACHAPµN	992					36	75	72	83	111	95	98	87	121	105	109																
10101	"CENTRO ESCOLAR ""CANTON PLATANARES"""	AHUACHAPµN	452				7	18	32	52	31	48	61	46	26	36	46	49																
10102	INSTITUTO NACIONAL DE ARCATAO	CHALATENANGO	44																29	15														
10103	INSTITUTO NACIONAL DE YAMABAL	MORAZµN	119																52	49	18													
10104	"CENTRO ESCOLAR ""COLONIA SANTA CRISTINA"""	USULUTµN	27				3	2	8	3	5	2	3	1																				
